WSxM file copyright UAM
WSxM ASCII XYZ file
X[µm]		Y[µm]		Z[nm]
1,69412	0,0156863	14,2108
1,70196	0,0156863	12,8973
1,7098	0,0156863	10,7028
1,71765	0,0156863	8,23334
1,72549	0,0156863	8,38892
1,73333	0,0156863	7,37166
1,74118	0,0156863	6,05905
1,74902	0,0156863	7,11311
1,75686	0,0156863	9,05932
1,76471	0,0156863	10,0766
1,77255	0,0156863	9,9308
1,78039	0,0156863	8,91355
1,78824	0,0156863	7,59346
1,79608	0,0156863	7,44006
1,80392	0,0156863	9,34966
1,81176	0,0156863	12,1478
1,81961	0,0156863	13,6251
1,82745	0,0156863	14,6424
1,83529	0,0156863	15,2387
1,84314	0,0156863	14,9532
1,85098	0,0156863	13,936
1,85882	0,0156863	12,3297
1,86667	0,0156863	10,3116
1,87451	0,0156863	9,06042
1,88235	0,0156863	8,04316
1,8902	0,0156863	8,30115
1,89804	0,0156863	9,3184
1,90588	0,0156863	8,91502
1,91373	0,0156863	8,97144
1,92157	0,0156863	8,66559
1,92941	0,0156863	8,03461
1,93725	0,0156863	7,4578
1,9451	0,0156863	9,51339
1,95294	0,0156863	11,275
1,96078	0,0156863	12,2922
1,96863	0,0156863	12,145
1,97647	0,0156863	11,1277
1,98431	0,0156863	8,63118
1,99216	0,0156863	8,23327
2	0,0156863	7,9498
0	0,0235294	11,8411
0,00784314	0,0235294	11,8557
0,0156863	0,0235294	12,7499
0,0235294	0,0235294	12,911
0,0313725	0,0235294	12,9247
0,0392157	0,0235294	11,9075
0,0470588	0,0235294	10,0139
0,054902	0,0235294	8,99489
0,0627451	0,0235294	7,97764
0,0705882	0,0235294	6,82085
0,0784314	0,0235294	5,37378
0,0862745	0,0235294	5,97498
0,0941176	0,0235294	6,30019
0,101961	0,0235294	6,61026
0,109804	0,0235294	5,59301
0,117647	0,0235294	4,04225
0,12549	0,0235294	5,05951
0,133333	0,0235294	5,90849
0,141176	0,0235294	6,06874
0,14902	0,0235294	5,05149
0,156863	0,0235294	4,18637
0,164706	0,0235294	5,25136
0,172549	0,0235294	6,3093
0,180392	0,0235294	9,98397
0,188235	0,0235294	13,6587
0,196078	0,0235294	16,7104
0,203922	0,0235294	18,0366
0,211765	0,0235294	19,0539
0,219608	0,0235294	19,7069
0,227451	0,0235294	19,132
0,235294	0,0235294	18,1173
0,243137	0,0235294	17,1
0,25098	0,0235294	14,0483
0,258824	0,0235294	11,2769
0,266667	0,0235294	12,2942
0,27451	0,0235294	13,1864
0,282353	0,0235294	12,4653
0,290196	0,0235294	11,4481
0,298039	0,0235294	9,19251
0,305882	0,0235294	6,33449
0,313725	0,0235294	7,22794
0,321569	0,0235294	7,68004
0,329412	0,0235294	6,66279
0,337255	0,0235294	4,325
0,345098	0,0235294	4,04423
0,352941	0,0235294	4,20291
0,360784	0,0235294	4,06759
0,368627	0,0235294	4,24848
0,376471	0,0235294	5,58195
0,384314	0,0235294	6,5992
0,392157	0,0235294	7,31508
0,4	0,0235294	10,3668
0,407843	0,0235294	12,5739
0,415686	0,0235294	14,6345
0,423529	0,0235294	15,6517
0,431373	0,0235294	16,2441
0,439216	0,0235294	16,1019
0,447059	0,0235294	15,0847
0,454902	0,0235294	13,621
0,462745	0,0235294	11,1153
0,470588	0,0235294	8,06354
0,478431	0,0235294	4,6971
0,486275	0,0235294	4,09949
0,494118	0,0235294	4,09433
0,501961	0,0235294	5,11158
0,509804	0,0235294	5,32723
0,517647	0,0235294	6,65966
0,52549	0,0235294	7,67691
0,533333	0,0235294	8,23378
0,541176	0,0235294	7,79802
0,54902	0,0235294	7,36303
0,556863	0,0235294	7,95498
0,564706	0,0235294	6,93773
0,572549	0,0235294	6,73067
0,580392	0,0235294	7,74792
0,588235	0,0235294	7,46432
0,596078	0,0235294	6,44707
0,603922	0,0235294	6,75172
0,611765	0,0235294	7,76897
0,619608	0,0235294	9,13963
0,627451	0,0235294	11,9387
0,635294	0,0235294	14,9846
0,643137	0,0235294	16,4615
0,65098	0,0235294	17,4787
0,658824	0,0235294	18,221
0,666667	0,0235294	17,2038
0,67451	0,0235294	16,1838
0,682353	0,0235294	13,132
0,690196	0,0235294	9,76265
0,698039	0,0235294	9,3599
0,705882	0,0235294	8,78224
0,713725	0,0235294	7,76499
0,721569	0,0235294	7,33129
0,729412	0,0235294	8,07507
0,737255	0,0235294	8,18268
0,745098	0,0235294	9,19994
0,752941	0,0235294	9,94071
0,760784	0,0235294	9,65368
0,768627	0,0235294	8,63643
0,776471	0,0235294	6,5116
0,784314	0,0235294	9,5078
0,792157	0,0235294	11,9557
0,8	0,0235294	12,9729
0,807843	0,0235294	13,5664
0,815686	0,0235294	13,4254
0,823529	0,0235294	12,4081
0,831373	0,0235294	11,0936
0,839216	0,0235294	12,0114
0,847059	0,0235294	12,0198
0,854902	0,0235294	11,0025
0,862745	0,0235294	9,83589
0,870588	0,0235294	7,20022
0,878431	0,0235294	7,30776
0,886275	0,0235294	7,16694
0,894118	0,0235294	6,14969
0,901961	0,0235294	7,26791
0,909804	0,0235294	8,28516
0,917647	0,0235294	9,17061
0,92549	0,0235294	8,88016
0,933333	0,0235294	8,28664
0,941176	0,0235294	8,29437
0,94902	0,0235294	7,27712
0,956863	0,0235294	7,81088
0,964706	0,0235294	8,25743
0,972549	0,0235294	8,9987
0,980392	0,0235294	9,35756
0,988235	0,0235294	9,21835
0,996078	0,0235294	8,2011
1,00392	0,0235294	7,34031
1,01176	0,0235294	8,37513
1,01961	0,0235294	9,39238
1,02745	0,0235294	9,69267
1,03529	0,0235294	8,81862
1,04314	0,0235294	7,80137
1,05098	0,0235294	8,09728
1,05882	0,0235294	8,54468
1,06667	0,0235294	7,68681
1,07451	0,0235294	9,16171
1,08235	0,0235294	10,179
1,0902	0,0235294	10,3322
1,09804	0,0235294	9,31493
1,10588	0,0235294	7,99913
1,11373	0,0235294	7,02685
1,12157	0,0235294	8,36013
1,12941	0,0235294	10,8194
1,13725	0,0235294	11,8367
1,1451	0,0235294	12,5766
1,15294	0,0235294	12,4354
1,16078	0,0235294	11,4182
1,16863	0,0235294	12,2667
1,17647	0,0235294	13,284
1,18431	0,0235294	14,0251
1,19216	0,0235294	13,0079
1,2	0,0235294	11,9869
1,20784	0,0235294	10,9674
1,21569	0,0235294	9,06537
1,22353	0,0235294	8,96097
1,23137	0,0235294	7,94372
1,23922	0,0235294	7,06257
