# Z_nm	Fit_totale_conteggi	Gauss1_conteggi	Gauss2_conteggi
5.621090	2999.750284	2503.293181	496.457103
5.635108	3002.510326	2503.055083	499.455243
5.649126	3005.044395	2502.590880	502.453514
5.663143	3007.352401	2501.900698	505.451703
5.677161	3009.434316	2500.984723	508.449593
5.691179	3011.290171	2499.843203	511.446968
5.705196	3012.920057	2498.476448	514.443609
5.719214	3014.324125	2496.884828	517.439297
5.733232	3015.502586	2495.068774	520.433812
5.747249	3016.455708	2493.028776	523.426932
5.761267	3017.183821	2490.765386	526.418435
5.775285	3017.687312	2488.279217	529.408095
5.789302	3017.966628	2485.570939	532.395690
5.803320	3018.022274	2482.641283	535.380991
5.817338	3017.854813	2479.491040	538.363773
5.831355	3017.464864	2476.121057	541.343807
5.845373	3016.853108	2472.532243	544.320865
5.859391	3016.020278	2468.725562	547.294716
5.873409	3014.967167	2464.702037	550.265130
5.887426	3013.694623	2460.462749	553.231874
5.901444	3012.203549	2456.008833	556.194716
5.915462	3010.494905	2451.341482	559.153424
5.929479	3008.569705	2446.461944	562.107761
5.943497	3006.429018	2441.371523	565.057495
5.957515	3004.073964	2436.071576	568.002388
5.971532	3001.505719	2430.563515	570.942204
5.985550	2998.725511	2424.848805	573.876706
5.999568	2995.734618	2418.928962	576.805657
6.013585	2992.534373	2412.805556	579.728817
6.027603	2989.126156	2406.480207	582.645949
6.041621	2985.511398	2399.954587	585.556811
6.055638	2981.691581	2393.230416	588.461165
6.069656	2977.668233	2386.309463	591.358770
6.083674	2973.442931	2379.193546	594.249384
6.097691	2969.017298	2371.884532	597.132767
6.111709	2964.393006	2364.384331	600.008675
6.125727	2959.571769	2356.694901	602.876868
6.139744	2954.555347	2348.818245	605.737102
6.153762	2949.345544	2340.756410	608.589134
6.167780	2943.944207	2332.511485	611.432722
6.181797	2938.353225	2324.085603	614.267622
6.195815	2932.574528	2315.480937	617.093590
6.209833	2926.610085	2306.699701	619.910383
6.223851	2920.461906	2297.744149	622.717757
6.237868	2914.132039	2288.616571	625.515468
6.251886	2907.622570	2279.319299	628.303271
6.265904	2900.935620	2269.854696	631.080924
6.279921	2894.073347	2260.225167	633.848181
6.293939	2887.037944	2250.433145	636.604799
6.307957	2879.831634	2240.481101	639.350534
6.321974	2872.456678	2230.371536	642.085141
6.335992	2864.915364	2220.106985	644.808379
6.350010	2857.210012	2209.690011	647.520002
6.364027	2849.342974	2199.123207	650.219767
6.378045	2841.316627	2188.409194	652.907433
6.392063	2833.133376	2177.550621	655.582755
6.406080	2824.795655	2166.550162	658.245492
6.420098	2816.305920	2155.410518	660.895402
6.434116	2807.666653	2144.134411	663.532242
6.448133	2798.880360	2132.724587	666.155773
6.462151	2789.949567	2121.183815	668.765752
6.476169	2780.876822	2109.514882	671.361940
6.490186	2771.664695	2097.720597	673.944098
6.504204	2762.315771	2085.803785	676.511986
6.518222	2752.832656	2073.767290	679.065366
6.532240	2743.217971	2061.613972	681.603999
6.546257	2733.474354	2049.346704	684.127650
6.560275	2723.604456	2036.968374	686.636081
6.574293	2713.610942	2024.481884	689.129057
6.588310	2703.496490	2011.890146	691.606344
6.602328	2693.263789	1999.196083	694.067706
6.616346	2682.915538	1986.402627	696.512912
6.630363	2672.454446	1973.512718	698.941728
6.644381	2661.883228	1960.529303	701.353925
6.658399	2651.204608	1947.455338	703.749270
6.672416	2640.421315	1934.293778	706.127536
6.686434	2629.536083	1921.047588	708.488495
6.700452	2618.551650	1907.719732	710.831918
6.714469	2607.470757	1894.313177	713.157580
6.728487	2596.296146	1880.830889	715.465257
6.742505	2585.030559	1867.275835	717.754724
6.756522	2573.676741	1853.650980	720.025760
6.770540	2562.237431	1839.959287	722.278144
6.784558	2550.715369	1826.203714	724.511655
6.798575	2539.113290	1812.387215	726.726075
6.812593	2527.433926	1798.512738	728.921188
6.826611	2515.680001	1784.583225	731.096777
6.840629	2503.854237	1770.601608	733.252629
6.854646	2491.959344	1756.570814	735.388530
6.868664	2479.998026	1742.493756	737.504270
6.882682	2467.972978	1728.373339	739.599639
6.896699	2455.886886	1714.212456	741.674430
6.910717	2443.742421	1700.013987	743.728434
6.924735	2431.542246	1685.780797	745.761449
6.938752	2419.289010	1671.515739	747.773271
6.952770	2406.985348	1657.221650	749.763699
6.966788	2394.633881	1642.901348	751.732532
6.980805	2382.237213	1628.557639	753.679574
6.994823	2369.797934	1614.193305	755.604629
7.008841	2357.318615	1599.811114	757.507501
7.022858	2344.801811	1585.413811	759.388000
7.036876	2332.250058	1571.004123	761.245935
7.050894	2319.665872	1556.584754	763.081118
7.064911	2307.051749	1542.158387	764.893362
7.078929	2294.410164	1527.727681	766.682483
7.092947	2281.743571	1513.295273	768.448299
7.106964	2269.054402	1498.863773	770.190629
7.120982	2256.345065	1484.435769	771.909296
7.135000	2243.617945	1470.013821	773.604124
7.149018	2230.875403	1455.600464	775.274939
7.163035	2218.119775	1441.198206	776.921569
7.177053	2205.353372	1426.809526	778.543846
7.191071	2192.578477	1412.436876	780.141601
7.205088	2179.797349	1398.082678	781.714671
7.219106	2167.012219	1383.749326	783.262893
7.233124	2154.225289	1369.439182	784.786107
7.247141	2141.438734	1355.154579	786.284155
7.261159	2128.654699	1340.897818	787.756882
7.275177	2115.875303	1326.671169	789.204134
7.289194	2103.102632	1312.476870	790.625762
7.303212	2090.338743	1298.317125	792.021618
7.317230	2077.585663	1284.194107	793.391556
7.331247	2064.845387	1270.109954	794.735433
7.345265	2052.119880	1256.066771	796.053109
7.359283	2039.411075	1242.066629	797.344445
7.373300	2026.720872	1228.111564	798.609308
7.387318	2014.051140	1214.203576	799.847564
7.401336	2001.403715	1200.344632	801.059083
7.415353	1988.780399	1186.536661	802.243738
7.429371	1976.182963	1172.781559	803.401405
7.443389	1963.613144	1159.081183	804.531961
7.457407	1951.072643	1145.437354	805.635288
7.471424	1938.563129	1131.851860	806.711269
7.485442	1926.086238	1118.326447	807.759791
7.499460	1913.643571	1104.862828	808.780744
7.513477	1901.236693	1091.462676	809.774018
