   442.487671     (  -5.92461252     ,  0.390283108     )
   443.233002     (  -5.96572638     ,  0.391636819     )
   443.978333     (  -6.00659609     ,  0.393315077     )
   444.723663     (  -6.04741716     ,  0.394993961     )
   445.468994     (  -6.07309723     ,  0.396869928     )
   446.214325     (  -6.09877682     ,  0.398745894     )
   446.959686     (  -6.12886572     ,  0.395626217     )
   447.705017     (  -6.15961885     ,  0.391753137     )
   448.450348     (  -6.19252729     ,  0.389046460     )
   449.195679     (  -6.22621346     ,  0.386761039     )
   449.941010     (  -6.26003695     ,  0.388374448     )
   450.686340     (  -6.29395151     ,  0.392583340     )
   451.431671     (  -6.33001471     ,  0.395651191     )
   452.177032     (  -6.36853838     ,  0.397411704     )
   452.922363     (  -6.40828419     ,  0.398858190     )
   453.667694     (  -6.45049095     ,  0.399671942     )
   454.413025     (  -6.49135780     ,  0.400978595     )
   455.158356     (  -6.52678061     ,  0.404287785     )
   455.903687     (  -6.56233692     ,  0.407720655     )
   456.649048     (  -6.59987068     ,  0.412985086     )
   457.394379     (  -6.63740444     ,  0.418249488     )
   458.139709     (  -6.67018700     ,  0.415537894     )
   458.885040     (  -6.70260620     ,  0.412216961     )
   459.630371     (  -6.73113489     ,  0.406459302     )
   460.375702     (  -6.75865984     ,  0.400072813     )
   461.121033     (  -6.79145432     ,  0.401573271     )
   461.866394     (  -6.82695532     ,  0.407124013     )
   462.611725     (  -6.85726547     ,  0.410664618     )
   463.357056     (  -6.88290691     ,  0.412397474     )
   464.102386     (  -6.91569233     ,  0.412501782     )
   464.847717     (  -6.95954418     ,  0.410083711     )
